[INFO][29664][23076]--2020-03-20 15:12:45,238--[test_get_weather.py test_get_weather_by_default 44]: http://api.help.bj.cn/apis/weather/
[INFO][29664][23076]--2020-03-20 15:12:46,397--[test_get_weather.py test_get_weather_by_shenzhen 31]: 获取城市编码...
[INFO][29664][23076]--2020-03-20 15:12:46,397--[test_get_weather.py test_get_weather_by_shenzhen 35]: 城市名称：深圳； CityCode: 101280601
[INFO][10300][20872]--2020-03-20 15:13:52,299--[test_get_weather.py test_get_weather_by_default 44]: http://api.help.bj.cn/apis/weather/
[INFO][10300][20872]--2020-03-20 15:13:52,489--[test_get_weather.py test_get_weather_by_shenzhen 31]: 获取城市编码...
[INFO][10300][20872]--2020-03-20 15:13:52,489--[test_get_weather.py test_get_weather_by_shenzhen 35]: 城市名称：深圳； CityCode: 101280601
[INFO][21796][33236]--2020-03-20 15:14:02,529--[test_get_weather.py test_get_weather_by_default 44]: http://api.help.bj.cn/apis/weather/
[INFO][21796][33236]--2020-03-20 15:14:02,868--[test_get_weather.py test_get_weather_by_shenzhen 31]: 获取城市编码...
[INFO][21796][33236]--2020-03-20 15:14:02,868--[test_get_weather.py test_get_weather_by_shenzhen 35]: 城市名称：深圳； CityCode: 101280601
[INFO][25656][31572]--2020-03-20 15:22:39,871--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][25656][31572]--2020-03-20 15:22:40,585--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
[INFO][25656][31572]--2020-03-20 15:22:40,585--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][30252][9532]--2020-03-20 15:23:59,785--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][30252][9532]--2020-03-20 15:24:00,010--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
[INFO][30252][9532]--2020-03-20 15:24:00,011--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][16728][2784]--2020-03-20 15:26:03,253--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][16728][2784]--2020-03-20 15:26:03,474--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
[INFO][16728][2784]--2020-03-20 15:26:03,474--[test_get_weather.py test_get_weather_by_shenzhen 34]: 城市名称：深圳； CityCode: 101280601
[INFO][34408][3732]--2020-03-20 15:29:00,324--[test_get_weather.py test_get_weather_by_default 43]: http://api.help.bj.cn/apis/weather/
[INFO][34408][3732]--2020-03-20 15:29:00,588--[test_get_weather.py test_get_weather_by_shenzhen 30]: 获取城市编码...
